# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0066,05:47:00.29,-31:39:44.24,SWOPE,r,300.0,0.0029006661313464655,False
S008ABE0067,05:51:28.00,-35:08:25.28,SWOPE,r,300.0,0.002879172590725576,False
S008ABE0068,05:56:18.52,-31:09:55.52,SWOPE,r,300.0,0.0028232127587865625,False
S008ABE0069,05:51:42.32,-30:40:06.80,SWOPE,r,300.0,0.0027849737143918157,False
S008ABE0070,06:00:56.15,-31:09:55.52,SWOPE,r,300.0,0.002715247716990209,False
S008ABE0071,06:08:16.15,-34:08:47.84,SWOPE,r,300.0,0.002689075783056476,False
S008ABE0072,05:53:59.70,-31:09:55.52,SWOPE,r,300.0,0.002661680153602427,False
S008ABE0073,05:58:37.33,-31:09:55.52,SWOPE,r,300.0,0.0026048446920156265,False
S008ABE0074,06:08:20.43,-34:38:36.56,SWOPE,r,300.0,0.002589269699466419,False
S008ABE0075,05:58:34.56,-29:10:40.64,SWOPE,r,300.0,0.002582107596068176,False
S008ABE0076,05:54:01.80,-29:40:29.36,SWOPE,r,300.0,0.0025735441459617775,False
S008ABE0077,05:54:00.42,-30:40:06.80,SWOPE,r,300.0,0.00255816177424835,False
S008ABE0078,06:05:56.04,-34:38:36.56,SWOPE,r,300.0,0.0025439030671116835,False
S008ABE0079,05:56:18.52,-30:40:06.80,SWOPE,r,300.0,0.0025193378444251656,False
S008ABE0080,06:01:10.83,-35:38:14.00,SWOPE,r,300.0,0.002509155043491594,False
S008ABE0081,05:49:07.93,-34:08:47.84,SWOPE,r,300.0,0.002500870268061751,False
S008ABE0082,06:06:03.14,-35:38:14.00,SWOPE,r,300.0,0.0024900369469405,False
S008ABE0083,06:10:29.80,-33:09:10.40,SWOPE,r,300.0,0.0023720347518538924,False
S008ABE0084,05:56:18.52,-29:40:29.36,SWOPE,r,300.0,0.0023585058186077253,False
S008ABE0085,06:11:00.97,-36:08:02.72,SWOPE,r,300.0,0.002356944813459199,False
S008ABE0086,06:05:52.63,-34:08:47.84,SWOPE,r,300.0,0.0023417552288166003,False
S008ABE0087,06:05:59.55,-35:08:25.28,SWOPE,r,300.0,0.002323300771678279,False
