# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S025AAE00066,21:11:57.90,+13:53:03.21,SWOPE,R,300.0,0.0026735841415730416,False
S025AAE00067,21:01:00.66,+11:54:02.75,SWOPE,R,300.0,0.0026617714165365195,False
S025AAE00068,20:59:15.02,+07:56:01.84,SWOPE,R,300.0,0.0026514322888977473,False
S025AAE00069,21:14:52.26,+15:22:18.55,SWOPE,R,300.0,0.0026462256154459033,False
S025AAE00070,21:06:39.95,+15:22:18.55,SWOPE,R,300.0,0.0026446576277010915,False
S025AAE00071,20:50:59.97,+08:25:46.95,SWOPE,R,300.0,0.002621570858577042,False
S025AAE00072,20:49:47.49,+06:56:31.61,SWOPE,R,300.0,0.002595491281151066,False
S025AAE00073,21:00:45.03,+08:55:32.07,SWOPE,R,300.0,0.0025878431014140736,False
S025AAE00074,21:02:15.53,+09:55:02.30,SWOPE,R,300.0,0.002587459810239878,False
S025AAE00075,21:04:33.74,+12:53:32.98,SWOPE,R,300.0,0.0025817747599129995,False
S025AAE00076,21:02:47.05,+12:23:47.87,SWOPE,R,300.0,0.002550667769220369,False
S025AAE00077,21:14:23.97,+15:52:03.66,SWOPE,R,300.0,0.0025331397101594636,False
S025AAE00078,21:05:03.35,+11:54:02.75,SWOPE,R,300.0,0.0025323562444351205,False
S025AAE00079,20:59:29.68,+11:24:17.64,SWOPE,R,300.0,0.0025228691519604655,False
S025AAE00080,21:13:55.52,+16:21:48.78,SWOPE,R,300.0,0.0024946924657809964,False
S025AAE00081,21:02:32.05,+12:53:32.98,SWOPE,R,300.0,0.002493809494608267,False
S025AAE00082,21:08:13.69,+15:52:03.66,SWOPE,R,300.0,0.0024929988384431116,False
S025AAE00083,21:13:31.88,+14:22:48.32,SWOPE,R,300.0,0.0024678125474970392,False
S025AAE00084,20:55:43.17,+10:54:32.52,SWOPE,R,300.0,0.0024620373119762966,False
S025AAE00085,20:57:45.50,+06:56:31.61,SWOPE,R,300.0,0.002457913712236187,False
S025AAE00086,21:11:51.74,+16:21:48.78,SWOPE,R,300.0,0.0024546037704044257,False
